City,Latitude,Longitude,Country,Date,Max Temperature (F),Humidity %,Cloudiness %,Wind (mph)
Fortuna,40.6,-124.16,US,1572372736,53.01,81,1,3.36
Cidreira,-30.17,-50.22,BR,1572372736,72.72,83,80,12.5
Manzhouli,49.6,117.43,CN,1572372736,36.37,80,98,5.64
Longyearbyen,78.22,15.63,NO,1572372737,14.0,78,75,1.12
Meiganga,6.52,14.29,CM,1572372737,67.75,90,28,2.91
Port Elizabeth,39.31,-74.98,US,1572372737,66.0,77,90,4.21
Jacksonville Beach,30.29,-81.39,US,1572372552,90.0,83,90,5.82
Kodiak,39.95,-94.76,US,1572372738,34.0,78,90,5.82
Novaky,51.47,26.19,UA,1572372738,39.97,72,37,5.37
Kungurtug,50.6,97.53,RU,1572372738,29.16,68,61,5.53
Sorland,67.67,12.69,NO,1572372738,37.4,67,75,5.82
Grindavik,63.84,-22.43,IS,1572372738,42.8,87,75,14.99
Kavieng,-2.57,150.8,PG,1572372738,83.86,70,28,3.6
Namibe,-15.19,12.15,AO,1572372739,71.83,77,38,6.4
Dauriya,49.93,116.85,RU,1572372739,32.18,94,90,8.75
Lompoc,34.64,-120.46,US,1572372739,69.01,35,1,11.43
Auki,12.18,6.51,NG,1572372739,81.82,46,96,6.06
Lucea,18.44,-78.17,JM,1572372740,86.0,79,20,17.22
Nikolskoye,59.7,30.79,RU,1572372740,32.0,85,90,6.71
Dhidhdhoo,6.88,73.1,MV,1572372740,77.88,86,100,14.25
San Cristobal,14.68,-86.92,HN,1572372740,80.76,55,58,7.14
Borogontsy,62.67,131.17,RU,1572372740,10.83,96,75,5.28
Codrington,-28.95,153.24,AU,1572372741,59.0,93,73,2.24
Ajdabiya,30.75,20.22,LY,1572372741,72.64,42,87,12.3
Lata,30.78,78.62,IN,1572372741,27.41,75,80,1.57
Saltpond,5.2,-1.06,GH,1572372741,80.4,82,41,16.44
Sungaipenuh,-2.08,101.38,ID,1572372741,63.54,99,76,1.88
Ishigaki,24.34,124.16,JP,1572372742,76.84,82,96,24.96
Bristol,51.45,-2.6,GB,1572372518,50.0,81,98,16.11
Kiama,-34.67,150.86,AU,1572372742,64.4,68,100,11.41
Castres,43.6,2.24,FR,1572372742,66.2,72,79,4.7
Carnarvon,-30.97,22.13,ZA,1572372743,57.9,15,0,6.85
Colquechaca,-18.7,-66.0,BO,1572372743,68.52,15,0,9.17
Lavrentiya,65.58,-170.99,RU,1572372804,21.43,64,0,6.31
La Ronge,55.1,-105.3,CA,1572372804,19.4,67,75,18.34
Hithadhoo,-0.6,73.08,MV,1572372805,82.33,74,100,9.1
Comodoro Rivadavia,-45.87,-67.48,AR,1572372805,57.2,62,40,12.75
Teya,21.05,-89.07,MX,1572372805,91.99,59,75,9.17
Novosheshminsk,55.06,51.22,RU,1572372805,32.67,82,82,2.98
Lola,7.8,-8.53,GN,1572372805,73.36,92,51,4.0
Visnes,59.36,5.22,NO,1572372806,37.99,66,5,5.82
Soyo,-6.13,12.37,AO,1572372806,82.4,78,20,6.93
Neiafu,-18.65,-173.98,TO,1572372807,73.4,94,75,2.24
Olga,34.11,-118.17,US,1572372807,71.01,49,1,4.7
Terrasini,38.15,13.08,IT,1572372807,73.0,77,20,4.7
Kandi,11.13,2.93,BJ,1572372807,77.32,70,82,2.62
La Guardia,-17.89,-63.33,BO,1572372808,96.8,49,75,21.92
Popondetta,-8.77,148.24,PG,1572372808,65.77,94,100,1.48
Anan,33.91,134.64,JP,1572372808,64.99,87,20,10.29
Dicabisagan,17.08,122.42,PH,1572372808,77.77,86,97,5.7
Owando,-0.49,15.91,CG,1572372809,72.43,86,83,2.98
Viedma,-40.81,-62.99,AR,1572372809,71.01,30,17,8.01
Samarai,-10.62,150.67,PG,1572372809,74.71,92,100,8.3
Banda Aceh,5.56,95.32,ID,1572372809,73.15,89,100,2.98
Manadhoo,5.77,73.38,MV,1572372809,76.42,91,100,15.14
Bilibino,68.06,166.44,RU,1572372809,-9.89,96,0,2.89
Ulaanbaatar,47.92,106.92,MN,1572372630,24.8,68,19,2.24
Esperance,-33.86,121.89,AU,1572372810,55.4,76,100,12.75
Bambous Virieux,-20.34,57.76,MU,1572372810,71.6,78,20,7.23
Kampong Thum,12.71,104.89,KH,1572372811,76.26,85,84,3.94
Sao Gabriel da Cachoeira,-0.13,-67.09,BR,1572372811,91.4,59,40,3.36
Aswan,24.09,32.9,EG,1572372811,80.6,19,1,6.93
Zhangye,38.94,100.46,CN,1572372812,39.9,26,20,1.66
Sulphur,30.24,-93.38,US,1572372812,78.8,69,75,14.99
Atherton,-17.27,145.48,AU,1572372812,73.4,78,40,9.17
Bethel,60.79,-161.76,US,1572372812,39.2,93,90,4.7
Port Hardy,50.7,-127.42,CA,1572372812,41.0,86,40,4.7
Nabire,-3.36,135.5,ID,1572372813,72.99,97,100,1.1
Kahului,20.89,-156.47,US,1572372751,75.0,100,75,6.93
Barao de Melgaco,-16.19,-55.97,BR,1572372813,95.0,34,19,10.29
Ponta Delgada,37.73,-25.67,PT,1572372813,69.8,88,40,14.99
Coquimbo,-29.95,-71.34,CL,1572372813,68.0,40,1,16.11
Davila,18.47,120.58,PH,1572372814,78.8,94,20,2.24
Stephenville,48.55,-58.59,CA,1572372814,41.0,86,40,6.93
Half Moon Bay,37.46,-122.43,US,1572372814,87.8,62,1,3.36
Lagoa,37.14,-8.45,PT,1572372814,66.99,100,40,4.7
Jalu,29.03,21.55,LY,1572372814,74.68,24,0,9.8
Orsha,54.51,30.43,BY,1572372815,34.74,82,88,10.78
Ostrovnoy,68.05,39.51,RU,1572372815,22.8,87,98,12.03
Meulaboh,4.14,96.13,ID,1572372816,78.08,84,100,6.82
Kavaratti,10.57,72.64,IN,1572372816,82.09,80,77,13.82
Kumluca,36.37,30.29,TR,1572372816,64.18,64,0,5.93
Kosjeric,44.0,19.91,RS,1572372816,57.2,87,40,4.7
Svetlogorsk,53.14,59.15,RU,1572372877,35.6,59,40,6.71
Ferrol,43.48,-8.23,ES,1572372877,68.0,82,40,10.29
Foumban,5.73,10.9,CM,1572372878,68.59,90,68,2.04
Mayo,63.59,-135.9,CA,1572372878,28.4,100,90,2.24
Cumberland,41.97,-71.43,US,1572372878,57.99,87,90,4.38
Wanning,48.64,13.53,AT,1572372878,46.99,81,75,1.12
Taraz,42.89,71.39,KZ,1572372878,52.0,43,0,8.95
Turukhansk,65.8,87.96,RU,1572372879,-4.47,99,97,4.61
Lasa,34.92,32.53,CY,1572372879,68.0,77,40,4.7
Los Llanos de Aridane,28.66,-17.92,ES,1572372879,75.99,88,50,6.93
Saint-Joseph,43.56,6.97,FR,1572372879,66.2,88,20,3.36
Sao Filipe,14.9,-24.5,CV,1572372879,81.82,59,69,6.67
Plunge,55.91,21.84,LT,1572372880,39.2,86,75,9.17
Gaoual,11.75,-13.2,GN,1572372880,78.46,62,0,2.24
Ondjiva,-17.07,15.73,AO,1572372664,95.0,14,20,4.7
Tucumcari,35.17,-103.73,US,1572372880,39.2,86,90,9.17
Ayan,38.23,44.7,IR,1572372880,43.25,77,100,1.68
Aklavik,68.22,-135.01,CA,1572372881,48.2,49,75,9.17
Warmbad,50.67,13.08,DE,1572372881,41.0,86,34,2.24
Bolshoye Murashkino,55.78,44.78,RU,1572372881,31.5,69,46,8.97
Ilulissat,69.22,-51.1,GL,1572372881,21.2,53,20,3.36
Morondava,-20.3,44.28,MG,1572372881,77.04,88,9,1.61
Polohy,47.48,36.26,UA,1572372882,48.0,86,100,2.91
Qaqortoq,60.72,-46.03,GL,1572372882,35.6,80,20,8.21
Nanortalik,60.14,-45.24,GL,1572372882,38.8,82,38,8.88
Vao,59.1,26.19,EE,1572372882,29.48,81,39,6.15
Campoverde,-0.91,-78.62,EC,1572372882,64.4,58,75,10.29
Polewali,-4.03,119.8,ID,1572372883,72.86,90,50,0.83
Constitucion,23.99,-104.67,MX,1572372883,73.0,26,5,4.7
Lorengau,-2.02,147.27,PG,1572372883,83.08,71,73,3.22
Boden,65.83,21.69,SE,1572372883,23.0,79,12,2.24
Waterfoot,53.69,-2.25,GB,1572372883,46.99,75,40,6.93
Nortelandia,-14.45,-56.8,BR,1572372884,95.22,36,55,7.49
Kamogawa,35.13,140.08,JP,1572372884,57.99,100,20,3.36
Sarangani,5.4,125.46,PH,1572372884,83.21,72,73,9.44
Washougal,45.58,-122.35,US,1572372884,43.0,23,1,26.4
Susanville,40.42,-120.65,US,1572372884,39.99,32,1,8.05
Mar del Plata,-46.43,-67.52,AR,1572372885,58.01,48,48,3.78
Tocopilla,-22.09,-70.2,CL,1572372885,76.98,20,9,10.47
Dangriga,16.97,-88.23,BZ,1572372885,89.6,70,40,6.93
Conceicao do Araguaia,-8.26,-49.26,BR,1572372885,95.77,34,35,3.83
San Jose,14.25,-87.96,HN,1572372885,82.4,61,40,2.24
Chegdomyn,51.13,133.04,RU,1572372886,32.97,99,100,1.52
Praia,-20.25,-43.81,BR,1572372886,87.8,40,75,5.82
San Andres,13.32,122.68,PH,1572372886,76.26,93,98,5.79
Mount Gambier,-37.83,140.78,AU,1572372886,48.2,93,75,2.68
Hokitika,-42.72,170.96,NZ,1572372886,50.34,85,100,9.19
Ha Giang,22.83,104.99,VN,1572372887,55.29,78,0,3.2
Bria,6.54,21.99,CF,1572372887,71.6,71,34,2.04
Gamba,28.28,88.52,CN,1572372887,29.25,61,58,1.57
Beringovskiy,63.05,179.32,RU,1572372887,22.32,54,0,12.46
Grand Gaube,-20.01,57.66,MU,1572372887,71.6,78,20,7.16
Sobolevo,54.43,31.9,RU,1572372888,35.6,95,83,12.71
Sinnamary,5.38,-52.96,GF,1572372888,82.69,76,31,9.84
Amapa,15.09,-87.97,HN,1572372888,89.6,52,20,4.7
Ketchikan,55.34,-131.65,US,1572372888,39.2,93,90,6.93
Tuatapere,-46.13,167.69,NZ,1572372888,48.0,85,80,5.01
Moyale,3.52,39.05,ET,1572372889,73.51,79,100,4.9
Kaliua,-5.06,31.79,TZ,1572372889,71.78,73,60,3.65
Asekeyevo,53.57,52.8,RU,1572372889,33.62,74,28,4.52
Cordoba,-27.78,-67.24,AR,1572372886,90.91,24,8,10.45
Port Hedland,-20.31,118.58,AU,1572372950,77.0,88,0,4.7
Elko,40.83,-115.76,US,1572372951,24.8,41,75,16.11
Tasiilaq,65.61,-37.64,GL,1572372951,32.0,77,40,32.21
Ewa Beach,21.32,-158.01,US,1572372951,78.8,69,40,3.36
Birao,10.3,22.78,CF,1572372951,78.39,37,42,2.28
Bratislava,48.15,17.11,SK,1572372670,50.0,66,98,5.82
Shimoda,34.7,138.93,JP,1572372845,55.99,98,41,4.0
Necochea,-38.55,-58.74,AR,1572372952,64.0,72,0,7.0
Tecoanapa,16.99,-99.26,MX,1572372953,87.8,62,40,8.05
Hamilton,43.26,-79.87,CA,1572372953,66.0,76,90,12.75
Alofi,-19.06,-169.92,NU,1572372953,75.2,83,99,10.29
Barsovo,61.17,73.17,RU,1572372953,23.0,79,75,13.42
Mont-de-Marsan,43.89,-0.5,FR,1572372758,66.0,82,55,3.36
Tura,64.27,100.22,RU,1572372954,13.48,96,100,5.61
Katobu,-4.94,122.53,ID,1572372954,73.54,94,21,3.36
Alihe,50.57,123.73,CN,1572372954,26.64,73,100,2.62
Yumen,40.29,97.04,CN,1572372954,39.58,36,2,10.16
Crotone,39.09,17.12,IT,1572372955,66.2,88,0,8.05
Porbandar,21.64,69.61,IN,1572372955,82.51,78,100,4.76
Bathurst,-33.42,149.58,AU,1572372955,59.0,53,99,1.23
Bathsheba,13.22,-59.52,BB,1572372955,87.8,66,40,12.75
Sabaudia,41.3,13.03,IT,1572372955,64.99,93,100,4.7
Rassvet,49.11,45.47,RU,1572372956,52.41,62,99,3.94
Mandal,48.82,106.5,MN,1572372956,29.89,79,45,6.26
Kampene,-3.59,26.67,CD,1572372956,71.1,92,49,0.72
Sorong,-0.86,131.25,ID,1572372956,71.94,99,98,2.24
Cedar City,37.68,-113.06,US,1572372957,45.0,17,1,13.87
Englewood,39.65,-104.99,US,1572372957,18.0,78,90,13.87
Manthani,18.65,79.67,IN,1572372957,75.31,90,77,2.89
Margate,-43.03,147.26,AU,1572372958,50.0,57,90,9.17
Kutum,14.2,24.66,SD,1572372958,76.93,24,42,6.42
Touros,-5.2,-35.46,BR,1572372958,82.4,61,75,16.11
Narsaq,60.91,-46.05,GL,1572372958,35.6,80,20,2.3
Marzuq,14.4,46.47,YE,1572372958,71.82,36,50,6.02
Mwinilunga,-11.73,24.43,ZM,1572372959,68.99,77,76,4.27
Alice Springs,-23.7,133.88,AU,1572372959,59.0,16,0,5.82
Pueblo,38.25,-104.61,US,1572372791,28.4,92,90,12.75
Puerto Escondido,15.86,-97.07,MX,1572372959,84.2,74,40,9.17
Sambava,-14.27,50.17,MG,1572372960,68.59,92,7,1.57
Kwekwe,-18.93,29.81,ZW,1572372960,70.92,53,93,16.02
Yuncheng,35.03,111.0,CN,1572372684,55.42,34,44,3.2
Emporia,38.4,-96.18,US,1572372960,39.99,80,90,9.17
Atar,20.52,-13.05,MR,1572372961,91.89,18,7,16.49
Nemuro,43.32,145.57,JP,1572372961,56.43,87,100,24.29
Traverse City,44.76,-85.62,US,1572372731,44.01,75,90,5.82
Itarema,-2.92,-39.92,BR,1572372962,87.19,48,44,17.67
Mana,13.03,5.27,NG,1572372962,81.79,51,100,5.93
Keroka,-0.78,34.95,KE,1572372962,60.48,95,100,2.1
Kamina,-8.74,25.0,CD,1572372963,67.73,94,50,4.7
Togur,58.36,82.83,RU,1572373024,21.81,81,25,7.4
Udachnyy,66.42,112.4,RU,1572373024,6.8,92,90,11.18
Nokaneng,-19.66,22.19,BW,1572373024,83.57,14,66,5.97
Tiarei,-17.53,-149.33,PF,1572373024,82.4,65,75,6.93
Luganville,-15.51,167.18,VU,1572373024,67.1,91,98,2.55
Kununurra,-15.77,128.74,AU,1572373025,69.8,88,24,3.36
Mahibadhoo,3.78,72.97,MV,1572373025,81.1,76,100,14.61
Barra do Garcas,-15.89,-52.26,BR,1572373025,93.2,46,75,2.24
Dunyapur,29.8,71.74,PK,1572373025,75.2,57,75,6.06
Minnedosa,50.25,-99.84,CA,1572372802,21.2,73,90,20.8
Hambantota,6.12,81.12,LK,1572373026,77.38,89,100,8.61
Pervomayskiy,53.24,40.29,RU,1572373026,42.57,70,87,6.82
Flin Flon,54.77,-101.88,CA,1572373026,19.4,73,90,13.87
Port-Cartier,50.03,-66.88,CA,1572373027,43.0,100,90,6.93
Erenhot,43.65,111.97,CN,1572373027,42.19,53,0,8.01
Minot,48.23,-101.3,US,1572372984,23.0,57,90,21.92
Sioux Lookout,50.1,-91.92,CA,1572373027,28.4,63,75,12.75
Zhanjiang,21.2,110.4,CN,1572373027,75.02,56,38,14.56
New Glasgow,45.59,-62.65,CA,1572372949,54.0,73,0,3.0
